hexsha,patch,summary,author
db3546d58b5a,https://github.com/torvalds/linux/commit/db3546d58b5a,nvmem: core: fix cell removal on error,Michael Walle
ab3428cfd9aa,https://github.com/torvalds/linux/commit/ab3428cfd9aa,nvmem: core: fix registration vs use race,Russell King (Oracle)
560181d3ace6,https://github.com/torvalds/linux/commit/560181d3ace6,nvmem: core: fix cleanup after dev_set_name(),Russell King (Oracle)
3bd747c7ea13,https://github.com/torvalds/linux/commit/3bd747c7ea13,nvmem: core: initialise nvmem->id early,Russell King (Oracle)
b0576ade3aaf,https://github.com/torvalds/linux/commit/b0576ade3aaf,nvmem: brcm_nvram: Add check for kzalloc,Jiasheng Jiang
e3d6d152a1cb,https://github.com/torvalds/linux/commit/e3d6d152a1cb,net: wwan: t7xx: Fix Runtime PM initialization,Kornel Dulęba
422ae7d9c722,https://github.com/torvalds/linux/commit/422ae7d9c722,net: phy: dp83822: Fix null pointer access on DP83825/DP83826 devices,Andre Kalb
a3191c4d86c5,https://github.com/torvalds/linux/commit/a3191c4d86c5,dpaa2-eth: execute xdp_do_flush() before napi_complete_done(),Magnus Karlsson
b534013798b7,https://github.com/torvalds/linux/commit/b534013798b7,dpaa_eth: execute xdp_do_flush() before napi_complete_done(),Magnus Karlsson
ad7e615f646c,https://github.com/torvalds/linux/commit/ad7e615f646c,virtio-net: execute xdp_do_flush() before napi_complete_done(),Magnus Karlsson
12b5717990c8,https://github.com/torvalds/linux/commit/12b5717990c8,lan966x: execute xdp_do_flush() before napi_complete_done(),Magnus Karlsson
2ccce20d51fa,https://github.com/torvalds/linux/commit/2ccce20d51fa,qede: execute xdp_do_flush() before napi_complete_done(),Magnus Karlsson
eede42c9459b,https://github.com/torvalds/linux/commit/eede42c9459b,spi: spidev: fix a recursive locking error,Bartosz Golaszewski
d2d73e6d4822,https://github.com/torvalds/linux/commit/d2d73e6d4822,pinctrl: single: fix potential NULL dereference,Maxim Korotkov
287a344a11f1,https://github.com/torvalds/linux/commit/287a344a11f1,pinctrl: aspeed: Fix confusing types in return value,Joel Stanley
6b04456e2487,https://github.com/torvalds/linux/commit/6b04456e2487,vdpa: ifcvf: Do proper cleanup if IFCVF init fails,Tanmay Bhushan
6dd88fd59da8,https://github.com/torvalds/linux/commit/6dd88fd59da8,vhost-scsi: unbreak any layout for response,Jason Wang
6c4ca03bd890,https://github.com/torvalds/linux/commit/6c4ca03bd890,net/tg3: resolve deadlock in tg3_reset_task() during EEH,David Christensen
37870358616c,https://github.com/torvalds/linux/commit/37870358616c,gpio: mxc: Unlock on error path in mxc_flip_edge(),Dan Carpenter
1bc5d819f0b9,https://github.com/torvalds/linux/commit/1bc5d819f0b9,platform/x86: thinkpad_acpi: Fix profile modes on Intel platforms,Mark Pearson
418e53401e47,https://github.com/torvalds/linux/commit/418e53401e47,ice: move devlink port creation/deletion,Paul M Stillwell Jr
fdcc0602d64f,https://github.com/torvalds/linux/commit/fdcc0602d64f,platform/x86: asus-wmi: Fix kbd_dock_devid tablet-switch reporting,Hans de Goede
cc88ad784e42,https://github.com/torvalds/linux/commit/cc88ad784e42,drm/fb-helper: Check fb_deferred_io_init() return value,Javier Martinez Canillas
98e3528012cd,https://github.com/torvalds/linux/commit/98e3528012cd,nvme-fc: fix initialization order,Ross Lagerwall
e38553bdc377,https://github.com/torvalds/linux/commit/e38553bdc377,net: fec: Use page_pool_put_full_page when freeing rx buffers,Wei Fang
6601fc0d15ff,https://github.com/torvalds/linux/commit/6601fc0d15ff,IB/hfi1: Restore allocated resources on failed copyout,Dean Luick
eb6d8f8705bc,https://github.com/torvalds/linux/commit/eb6d8f8705bc,iio: imu: fxos8700: fix failed initialization ODR mode assignment,Carlos Song
fd941bd64f07,https://github.com/torvalds/linux/commit/fd941bd64f07,net: ethernet: renesas: rswitch: Fix ethernet-ports handling,Yoshihiro Shimoda
fb4293600cc6,https://github.com/torvalds/linux/commit/fb4293600cc6,ASoC: SOF: sof-audio: prepare_widgets: Check swidget for NULL on sink failure,Peter Ujfalusi
96b328d119ec,https://github.com/torvalds/linux/commit/96b328d119ec,misc: fastrpc: Fix use-after-free race condition for maps,Ola Jeppsson
5bb96c8f9268,https://github.com/torvalds/linux/commit/5bb96c8f9268,misc: fastrpc: Don't remove map on creater_process and device_release,Abel Vesa
5023adc364df,https://github.com/torvalds/linux/commit/5023adc364df,misc: fastrpc: fix error code in fastrpc_req_mmap(),Dan Carpenter
a43866856125,https://github.com/torvalds/linux/commit/a43866856125,mei: bus: fix unlink on bus in error path,Alexander Usyskin
ea57680af475,https://github.com/torvalds/linux/commit/ea57680af475,ASoC: SOF: ipc4-mtrace: prevent underflow in sof_ipc4_priority_mask_dfs_write(),Dan Carpenter
6c54b7bc8a31,https://github.com/torvalds/linux/commit/6c54b7bc8a31,thermal: core: call put_device() only after device_register() fails,Viresh Kumar
9be182da0a75,https://github.com/torvalds/linux/commit/9be182da0a75,driver core: Fix test_async_probe_init saves device in wrong array,Chen Zhongjin
36225a7c72e9,https://github.com/torvalds/linux/commit/36225a7c72e9,w1: fix WARNING after calling w1_process(),Yang Yingliang
5bfdd3c654bd,https://github.com/torvalds/linux/commit/5bfdd3c654bd,serial: atmel: fix incorrect baudrate setup,Tobias Schramm
5abbeebd8296,https://github.com/torvalds/linux/commit/5abbeebd8296,tty: fix possible null-ptr-defer in spk_ttyio_release,Gaosheng Cui
4f39aca2360c,https://github.com/torvalds/linux/commit/4f39aca2360c,serial: amba-pl011: fix high priority character transmission in rs486 mode,Lino Sanfilippo
b8caf69a6946,https://github.com/torvalds/linux/commit/b8caf69a6946,tty: serial: qcom-geni-serial: fix slab-out-of-bounds on RX FIFO buffer,Krzysztof Kozlowski
0220e4fe178c,https://github.com/torvalds/linux/commit/0220e4fe178c,drm/i915: Fix a memory leak with reused mmap_offset,Nirmoy Das
55ba18dc62de,https://github.com/torvalds/linux/commit/55ba18dc62de,octeontx2-pf: Fix the use of GFP_KERNEL in atomic context on rt,Kevin Hao
b9cee506da2b,https://github.com/torvalds/linux/commit/b9cee506da2b,ALSA: hda/via: Avoid potential array out-of-bound in add_secret_dac_path(),Artemii Karasev
86d884f5287f,https://github.com/torvalds/linux/commit/86d884f5287f,clk: microchip: mpfs-ccc: Use devm_kasprintf() for allocating formatted strings,Geert Uytterhoeven
0bfe63d07578,https://github.com/torvalds/linux/commit/0bfe63d07578,scsi: device_handler: alua: Remove a might_sleep() annotation,Bart Van Assche
f484a794e4ee,https://github.com/torvalds/linux/commit/f484a794e4ee,scsi: iscsi_tcp: Fix UAF during login when accessing the shost ipaddress,Mike Christie
182da6f2b81a,https://github.com/torvalds/linux/commit/182da6f2b81a,ACPI: PRM: Check whether EFI runtime is available,Ard Biesheuvel
bc30c15f2754,https://github.com/torvalds/linux/commit/bc30c15f2754,"phy: phy-can-transceiver: Skip warning if no ""max-bitrate""",Geert Uytterhoeven
a7a7ee6f5a01,https://github.com/torvalds/linux/commit/a7a7ee6f5a01,dmaengine: tegra: Fix memory leak in terminate_all(),Akhil R
a273e95721e9,https://github.com/torvalds/linux/commit/a273e95721e9,drm/i915: Allow switching away via vga-switcheroo if uninitialized,Thomas Zimmermann
93eea624526f,https://github.com/torvalds/linux/commit/93eea624526f,drm/i915/selftests: Unwind hugepages to drop wakeref on error,Chris Wilson
3782c0d6edf6,https://github.com/torvalds/linux/commit/3782c0d6edf6,HID: betop: check shape of output reports,Pietro Borrello
d71ebe8114b4,https://github.com/torvalds/linux/commit/d71ebe8114b4,virtio-net: correctly enable callback during start_xmit,Jason Wang
7b90f5a665ac,https://github.com/torvalds/linux/commit/7b90f5a665ac,net: macb: fix PTP TX timestamp failure due to packet padding,Robert Hancock
1417f59ac0b0,https://github.com/torvalds/linux/commit/1417f59ac0b0,dmaengine: imx-sdma: Fix a possible memory leak in sdma_transfer_init,Hui Wang
f3dc1b3b4750,https://github.com/torvalds/linux/commit/f3dc1b3b4750,dmaengine: Fix double increment of client_count in dma_chan_get(),Koba Ko
57054fe516d5,https://github.com/torvalds/linux/commit/57054fe516d5,Add exception protection processing for vd in axi_chan_handle_err function,Shawn.Shao
2c1e1b949024,https://github.com/torvalds/linux/commit/2c1e1b949024,net: mlx5: eliminate anonymous module_init & module_exit,Randy Dunlap
6624bfeecf01,https://github.com/torvalds/linux/commit/6624bfeecf01,net/mlx5e: Remove redundant xsk pointer check in mlx5e_mpwrq_validate_xsk,Adham Faris
5aa561059303,https://github.com/torvalds/linux/commit/5aa561059303,net/mlx5e: Avoid false lock dependency warning on tc_ht even more,Vlad Buslov
90e7cb78b815,https://github.com/torvalds/linux/commit/90e7cb78b815,net/mlx5: fix missing mutex_unlock in mlx5_fw_fatal_reporter_err_work(),Yang Yingliang
531390a243ef,https://github.com/torvalds/linux/commit/531390a243ef,firewire: fix memory leak for payload of request subaction to IEC 61883-1 FCP region,Takashi Sakamoto
c6ec929595c7,https://github.com/torvalds/linux/commit/c6ec929595c7,usb: gadget: f_ncm: fix potential NULL ptr deref in ncm_bitrate(),Maciej Żenczykowski
7c07553807c5,https://github.com/torvalds/linux/commit/7c07553807c5,USB: gadget: Add ID numbers to configfs-gadget driver names,Chanh Nguyen
36f78477ac2c,https://github.com/torvalds/linux/commit/36f78477ac2c,usb: typec: tcpm: Fix altmode re-registration causes sysfs create fail,ChiYuan Huang
e5854355d76b,https://github.com/torvalds/linux/commit/e5854355d76b,usb: misc: onboard_hub: Invert driver registration order,Matthias Kaehlcke
bd449ad8cee9,https://github.com/torvalds/linux/commit/bd449ad8cee9,usb: musb: fix error return code in omap2430_probe(),Yang Yingliang
23a3b8d5a236,https://github.com/torvalds/linux/commit/23a3b8d5a236,xhci: Add update_hub_device override for PCI xHCI hosts,Mathias Nyman
a2bc47c43e70,https://github.com/torvalds/linux/commit/a2bc47c43e70,xhci: Fix null pointer dereference when host dies,Mathias Nyman
e8fb5bc76eb8,https://github.com/torvalds/linux/commit/e8fb5bc76eb8,usb: xhci: Check endpoint is valid before dereferencing it,Jimmy Hu
d18dcfe9860e,https://github.com/torvalds/linux/commit/d18dcfe9860e,USB: gadgetfs: Fix race between mounting and unmounting,Alan Stern
9d6033e35069,https://github.com/torvalds/linux/commit/9d6033e35069,block/rnbd-clt: fix wrong max ID in ida_alloc_max,Guoqing Jiang
c7bf714f8755,https://github.com/torvalds/linux/commit/c7bf714f8755,HID: check empty report_list in bigben_probe(),Pietro Borrello
b12fece4c648,https://github.com/torvalds/linux/commit/b12fece4c648,HID: check empty report_list in hid_validate_values(),Pietro Borrello
e5c3ac895750,https://github.com/torvalds/linux/commit/e5c3ac895750,wifi: mt76: handle possible mt76_rx_token_consume failures,Lorenzo Bianconi
1132d1c834d6,https://github.com/torvalds/linux/commit/1132d1c834d6,wifi: mt76: dma: do not increment queue head if mt76_dma_add_buf fails,Lorenzo Bianconi
87b93b678e95,https://github.com/torvalds/linux/commit/87b93b678e95,octeontx2-pf: Avoid use of GFP_KERNEL in atomic context,Geetha sowjanya
b870e73a56c4,https://github.com/torvalds/linux/commit/b870e73a56c4,wifi: rndis_wlan: Prevent buffer overflow in rndis_query_oid,Szymon Heidrich
ed05cb177ae5,https://github.com/torvalds/linux/commit/ed05cb177ae5,wifi: brcmfmac: fix regression for Broadcom PCIe wifi devices,Arend van Spriel
e5464277625c,https://github.com/torvalds/linux/commit/e5464277625c,gpio: mxc: Protect GPIO irqchip RMW with bgpio spinlock,Marek Vasut
eb50cd5bfdac,https://github.com/torvalds/linux/commit/eb50cd5bfdac,iio: hid: fix the retval in gyro_3d_capture_sample,Dmitry Perchanov
f7b23d1c35d8,https://github.com/torvalds/linux/commit/f7b23d1c35d8,iio: hid: fix the retval in accel_3d_capture_sample,Dmitry Perchanov
925f3deb45df,https://github.com/torvalds/linux/commit/925f3deb45df,net: lan966x: add missing fwnode_handle_put() for ports node,Clément Léger
3c463721a73b,https://github.com/torvalds/linux/commit/3c463721a73b,net: enetc: avoid deadlock in enetc_tx_onestep_tstamp(),Vladimir Oltean
b574baa64cf8,https://github.com/torvalds/linux/commit/b574baa64cf8,phy: freescale: imx8m-pcie: Add one missing error return,Richard Zhu
5daba914da0e,https://github.com/torvalds/linux/commit/5daba914da0e,phy: rockchip-inno-usb2: Fix missing clk_disable_unprepare() in rockchip_usb2phy_power_on(),Shang XiaoJing
